t,and,err,Uang,Uspd,Uturn,gx,gy,gz
37.227,5.560,5.560,221.983,-135.864,-1.200,-0.4,3.0,1.0
37.286,4.339,4.339,149.161,-92.105,-0.900,-24.4,3.2,4.0
37.347,3.418,3.418,129.108,-77.974,0.000,-7.6,3.3,6.0
37.402,3.369,3.369,136.061,-68.081,-2.100,1.3,3.1,8.0
37.456,3.611,3.611,146.697,-54.648,-3.600,2.3,3.6,12.0
37.517,3.592,3.592,133.140,-43.432,-2.400,-10.6,3.5,8.0
37.577,2.754,2.754,87.652,-22.224,-1.500,-22.5,3.3,4.0
37.637,1.753,1.753,45.248,-2.237,0.000,-24.9,3.5,1.0
37.692,1.009,1.009,23.511,13.608,-0.900,-16.8,3.4,2.0
37.747,0.472,0.472,3.632,24.904,-1.200,-15.2,3.1,4.0
37.801,-0.239,-0.239,-28.302,26.367,0.300,-18.8,3.4,-1.0
37.867,-0.803,-0.803,-46.199,-9.900,0.000,-14.1,2.7,-1.0
37.926,-0.988,-0.988,-47.969,-24.408,-0.300,-8.5,2.7,1.0
37.987,-1.309,-1.309,-49.017,-36.261,-4.800,3.3,2.1,16.0
38.046,-0.259,-0.259,2.360,-56.241,-1.500,12.7,1.3,5.0
38.102,0.565,0.565,24.736,-78.669,-0.900,2.1,2.5,5.0
38.162,0.415,0.415,-10.276,-106.363,-2.100,-26.9,3.7,5.0
38.221,-0.973,-0.973,-59.172,-127.626,-1.500,-20.3,2.6,5.0
38.282,-1.026,-1.026,-14.988,-164.404,-2.400,26.1,-1.3,8.0
38.346,1.790,1.790,131.077,-217.185,-2.400,59.5,-2.2,9.0
38.407,5.252,5.252,276.621,-299.911,-3.000,66.5,1.5,10.0
38.467,9.458,9.458,430.985,-176.158,-2.700,52.7,0.4,0.0
38.526,7.129,7.129,222.122,-109.114,-0.600,-63.0,5.4,0.0
38.587,3.702,3.702,105.109,-56.982,0.900,-43.0,4.5,-3.0
38.642,1.854,1.854,57.273,-16.913,0.600,-16.9,2.8,-1.0
38.702,1.276,1.276,48.648,9.749,0.300,-2.4,2.2,0.0
38.757,1.234,1.234,50.585,36.514,0.300,1.2,2.3,-1.0
38.812,1.433,1.433,49.228,49.554,0.300,-8.1,3.0,-1.0
38.866,0.868,0.868,19.287,65.606,0.600,-15.5,3.4,-4.0
38.927,0.229,0.229,-12.494,82.152,0.600,-21.7,3.4,-4.0
38.982,-0.768,-0.768,-50.316,92.432,0.900,-19.6,3.1,-3.0
39.042,-1.698,-1.698,-84.046,99.977,1.200,-16.1,3.9,-5.0
39.102,-2.268,-2.268,-102.666,98.958,2.100,-12.0,3.0,-4.0
39.166,-2.011,-2.011,-74.304,-9.753,0.900,6.1,1.5,-4.0
39.222,-1.012,-1.012,-28.319,-27.725,0.000,12.2,1.5,1.0
39.282,0.174,0.174,18.564,-37.041,0.300,11.6,1.9,-1.0
39.342,0.770,0.770,29.368,-43.599,-0.300,-1.4,2.5,1.0
39.397,0.872,0.872,29.683,-43.239,-0.300,-5.2,2.3,1.0
39.457,0.756,0.756,22.261,-42.811,-0.300,-8.0,2.8,1.0
39.512,0.492,0.492,9.802,-42.688,-0.300,-9.9,2.7,1.0
39.567,0.139,0.139,-5.682,-42.602,-0.300,-11.3,2.7,1.0
39.626,-0.202,-0.202,-16.248,-45.865,-1.500,-8.2,3.1,5.0
39.687,-0.298,-0.298,-17.097,-51.498,-2.700,-5.2,2.2,8.0
39.747,-0.032,-0.032,1.483,-62.136,-2.100,2.7,2.3,8.0
39.801,0.536,0.536,27.191,-73.003,-1.200,5.8,2.3,4.0
39.862,0.967,0.967,41.252,-91.447,-1.200,2.6,1.9,5.0
39.917,1.286,1.286,59.114,-93.929,-2.700,7.7,1.7,2.0
39.971,1.539,1.539,61.837,-95.786,-1.500,0.3,2.4,5.0
40.027,1.712,1.712,70.074,-93.883,-0.900,1.6,2.3,3.0
