gx,gy,gz,gx_raw,gy_raw,gz_raw
-3.2,2.7,1.0,-287,-356,-168
-3.9,2.2,1.0,-378,-292,-179
-3.8,2.3,1.0,-367,-306,-184
-3.0,2.6,1.0,-260,-340,-171
-3.2,3.0,1.0,-295,-387,-151
-3.6,2.5,1.0,-344,-323,-145
-2.4,2.5,1.0,-187,-324,-139
-1.4,2.8,0.0,-55,-363,70
-3.3,2.5,1.0,-298,-322,-175
-4.1,2.1,1.0,-406,-275,-207
-3.4,2.2,1.0,-315,-289,-196
-3.0,2.6,1.0,-262,-344,-180
-3.3,2.7,1.0,-309,-355,-171
-2.9,2.5,1.0,-250,-330,-225
-3.2,3.0,1.0,-294,-392,-161
-4.3,2.7,1.0,-438,-349,-169
-4.1,2.0,1.0,-409,-268,-200
-3.9,2.2,1.0,-382,-286,-227
-4.0,2.0,1.0,-402,-268,-216
-8.8,2.4,1.0,-1031,-309,-180
1.4,2.4,0.0,315,-308,30
4.0,2.6,1.0,654,-336,-215
